Year,Entity,value
1900,Others,16.026139999999998
1901,Others,20.747920000000022
1902,Others,20.00360999999998
1903,Others,29.34250000000003
1904,Others,36.26236000000006
1905,Others,41.26323000000002
1906,Others,45.51983000000001
1907,Others,57.85924
1908,Others,71.36169000000001
1909,Others,80.56100000000004
1910,Others,76.72313999999994
1911,Others,95.85446999999999
1912,Others,99.45979999999997
1913,Others,118.27710000000002
1914,Others,110.6246000000001
1915,Others,128.84876999999994
1916,Others,140.32757000000004
1917,Others,175.71768999999995
1918,Others,196.9773
1919,Others,244.26485000000002
1920,Others,387.54640000000006
1921,Others,453.9770500000001
1922,Others,452.8606
1923,Others,422.3783000000003
1924,Others,435.70630000000006
1925,Others,427.1814999999999
1926,Others,437.1717000000001
1927,Others,467.1886999999999
1928,Others,552.3086000000003
1929,Others,616.2505000000003
1930,Others,624.2286999999999
1931,Others,579.9764
1932,Others,596.5839999999998
1933,Others,615.1341
1934,Others,705.7548999999999
1935,Others,768.3127000000002
1936,Others,814.7282399999999
1937,Others,915.1763599999995
1938,Others,919.0606899999998
1939,Others,966.0227300000001
1940,Others,922.8404999999998
1941,Others,937.2268799999997
1942,Others,771.0690700000005
1943,Others,876.7043999999996
1944,Others,1015.6248799999998
1945,Others,1141.0193400000003
1946,Others,1280.73052
1947,Others,1432.2809399999996
1948,Others,1691.7582999999995
1949,Others,1843.5877399999995
1950,Others,2203.3149900000008
1951,Others,2411.44575
1952,Others,2600.36322
1953,Others,2835.3241499999995
1954,Others,3117.6309500000007
1955,Others,3673.12546
1956,Others,4087.38594
1957,Others,4432.3209
1958,Others,4762.323200000001
1959,Others,5151.39166
1960,Others,5723.879500000001
1961,Others,6123.4049
1962,Others,6813.3081
1963,Others,7409.170699999999
1964,Others,8296.469399999998
1965,Others,9140.996999999998
1966,Others,9904.242600000001
1967,Others,10613.1936
1968,Others,11931.9264
1969,Others,13282.3917
1970,Others,14888.597600000001
1971,Others,15699.761900000001
1972,Others,16315.7584
1973,Others,18004.358799999998
